TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-25 03:34:24,1771990464773,himo-na.vercel.app/goals/de93852e-3b9c-40d8-b0ee-ced9789315b6/view,GET,_rsc=dt7rl&nxtPid=de93852e-3b9c-40d8-b0ee-ced9789315b6,200,c59tg-1771990464773-f35f7e053eef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/(.)goals/[id]/view.rsc,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,13,iad1,330,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DSED6XYS160H7X9Z040G5,NweeIQ4kBRif,1
2026-02-25 03:34:24,1771990464773,himo-na.vercel.app/goals/de93852e-3b9c-40d8-b0ee-ced9789315b6/view,GET,_rsc=dt7rl&nxtPid=de93852e-3b9c-40d8-b0ee-ced9789315b6,200,c59tg-1771990464773-f35f7e053eef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,89,sfo1,289,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DSE8SM4HDDE7DDDEBQ1QC,ScqwWA5QO9rN,1
2026-02-25 03:34:24,1771990464296,himo-na.vercel.app/goals/de93852e-3b9c-40d8-b0ee-ced9789315b6/view,GET,_rsc=3hd5j,200,gmc5g-1771990464296-c308a708000f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,307,sfo1,287,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DSDSX0KB72YD211QKECZW,ScqwWA5QO9rN,1
2026-02-25 03:34:24,1771990464296,himo-na.vercel.app/goals/de93852e-3b9c-40d8-b0ee-ced9789315b6/view,GET,_rsc=3hd5j,200,gmc5g-1771990464296-c308a708000f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/(.)goals/[id]/view.rsc,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,205,iad1,330,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DSE55Y916KMQXJTDBAH9J,NweeIQ4kBRif,1
2026-02-25 03:31:40,1771990300636,himo-na.vercel.app/login,GET,,304,jgcwh-1771990300636-dcfb222e5f37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,9,sfo1,287,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DMDZ9EQC9MPBSR5SDG271,ScqwWA5QO9rN,1
2026-02-25 03:31:40,1771990300636,himo-na.vercel.app/login,GET,,304,jgcwh-1771990300636-dcfb222e5f37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,HIT,static,/login,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,52,pdx1,,,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,,,
2026-02-25 03:31:40,1771990300566,himo-na.vercel.app/manifest.webmanifest,GET,,307,jgcwh-1771990300566-d152a8fc72b2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,,middleware,middleware,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,8,sfo1,287,2048,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,01KJ9DMDX3S8QJ2CXRZNMDACTA,ScqwWA5QO9rN,1
2026-02-25 03:31:40,1771990300566,himo-na.vercel.app/manifest.webmanifest,GET,,307,jgcwh-1771990300566-d152a8fc72b2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,,redirect,/manifest.webmanifest,himo-na.vercel.app,self-care-o0r9t9mtz-kris-perezzs-projects.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,43,pdx1,,,,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,,,
2026-02-25 03:31:40,1771990300313,himo-na.vercel.app/home,GET,_rsc=pgnp1,200,mfg6b-1771990300161-d87068c9980c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",info,production,main,MISS,function,/home,himo-na.vercel.app,himo-na.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,,,,,[server] getUser: 2.2ms,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,,,
2026-02-25 03:31:40,1771990300313,himo-na.vercel.app/home,GET,_rsc=pgnp1,200,mfg6b-1771990300161-d87068c9980c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",warning,production,main,MISS,function,/home,himo-na.vercel.app,himo-na.vercel.app,dpl_7NSWDaXBUQraDyxUfdCu1hnFJgrb,,,,,Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server.,prj_5VMwLoi8gbQoVOauhp8ZkFtJNAaY,,,,,
